Accountability score;Administrative expenses;Charity name;Charity url;City;CN advisory;Compensation leader compensation;Compensation leader expense;Compensation leader title;Excess or deficit for year;Financial score;Fundraising expenses;Net assets;Organization type;Other revenue;Overall score;Payments to affiliates;Program expenses;State;Total contributions
89;751522.0;Habitat for Humanity of Greater Charlottesville;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10728;Charlottesville;nan;119377.0;2.2800000000000002;President, CEO;-831389.0;83.02;441630.0;5883701.0;Community Development : Housing and Neighborhood Development;1198844.0;85.69;0.0;4032651.0;VA;1962961.0
89;23917.0;Junior Achievement of South Dakota;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14640;Sioux Falls;nan;110362.0;9.12;President;-142786.0;89.7;212560.0;2312992.0;Education : Youth Education Programs and Services;35132.0;89.34;217661.0;972520.0;SD;1031079.0
92;1070806.0;CancerCare;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3415;New York;nan;292404.0;1.65;Chief Executive Officer;-1924381.0;80.62;2675362.0;16170170.0;Health : Diseases, Disorders, and Disciplines;1492049.0;85.17;0.0;13933124.0;NY;14262862.0
89;7934707.0;The Huntington Library, Art Collections, and Botanical Gardens;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3815;San Marino;nan;444131.0;0.68;President;9685701.0;95.04;3776475.0;628175997.0;Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation;22594296.0;91.46;0.0;52661828.0;CA;43392805.0
93;1320749.0;National Museum of Wildlife Art;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8207;Jackson;nan;143143.0;2.99;Interim Director;-244936.0;80.25;425981.0;27518955.0;Arts, Culture, Humanities : Museums;707243.0;85.18;0.0;3040271.0;WY;3048696.0
58;136761.0;Crystal Peaks Youth Ranch;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12855;Bend;nan;;;nan;2017032.0;94.61;222617.0;6284267.0;Human Services : Youth Development, Shelter, and Crisis Services;29348.0;70.05;0.0;1186999.0;OR;3480103.0
93;206058.0;Crosswinds Youth Services;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11337;Cocoa;nan;145238.0;4.74;President, CEO;298034.0;85.0;124371.0;3894264.0;Human Services : Children's and Family Services;92237.0;88.29;0.0;2731990.0;FL;3268216.0
93;1492538.0;Museum of the City of New York;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5992;New York;nan;429531.0;2.38;President, Director;-609950.0;93.84;1994693.0;56836762.0;Arts, Culture, Humanities : Museums;1038580.0;93.4;0.0;14524070.0;NY;14466594.0
97;2282755.0;Cambridge in America;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3256;New York;nan;298864.0;0.73;Executive Director;13401440.0;100.0;4525160.0;53063762.0;Education : Scholarship and Financial Support ,;52303.0;97.87;0.0;33746206.0;NY;53903258.0
96;490087.0;Hope for Haiti;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9170;Naples;nan;145200.0;0.97;President;-507805.0;94.94;332253.0;5194662.0;International : Humanitarian Relief Supplies;468007.0;95.43;0.0;14031582.0;FL;13878110.0
93;236612.0;Homes With Hope;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13381;Westport;nan;140000.0;5.8;President/CEO;78604.0;82.25;177482.0;2278705.0;Human Services : Homeless Services;357718.0;86.5;0.0;1997982.0;CT;1872952.0
96;877413.0;Jewish Federation of Greater Dallas;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5690;Dallas;nan;299848.0;2.89;President, CEO;817279.0;70.03;1278343.0;4630273.0;Community Development : Jewish Federations ,;30742.0;78.62;437569.0;8186878.0;TX;11129171.0
92;169276.0;James River Association;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15076;Richmond;nan;138426.0;6.94;Executive Director;-377000.0;92.31;269334.0;2877340.0;Environment : Environmental Protection and Conservation;108982.0;92.15;0.0;1555517.0;VA;1462224.0
100;823111.0;Fistula Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8855;San Jose;nan;233164.0;2.29;Chief Executive Officer;-177759.0;86.87;923497.0;4472160.0;International : Development and Relief Services ,;274167.0;90.71;0.0;8400510.0;CA;9695192.0
85;142384.0;Asian American Journalists Association;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16001;San Francisco;nan;112000.0;7.53;Executive Director;68426.0;72.5;571093.0;2746590.0;Human and Civil Rights : Advocacy and Education;53877.0;77.84;0.0;772057.0;CA;1500083.0
93;330783.0;Baltimore Humane Society;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8275;Reisterstown;nan;14400.0;1.0;Executive Director;653808.0;81.62;64786.0;2254014.0;Animals : Animal Rights, Welfare, and Services;29100.0;86.09;0.0;1032211.0;MD;1707130.0
77;84256.0;Bangor Humane Society;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10965;Bangor;nan;85921.0;7.59;Executive Director;197916.0;90.0;89435.0;2983861.0;Animals : Animal Rights, Welfare, and Services;138321.0;82.26;0.0;957013.0;ME;854745.0
100;2634007.0;United Way of Greater Rochester;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4640;Rochester;nan;152349.0;0.44;President, CEO;-1449329.0;87.07;3343844.0;125857960.0;Community Development : United Ways ,;3509067.0;90.85;312985.0;28204587.0;NY;29224042.0
85;367571.0;Social Venture Partners;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16077;Seattle;nan;38032.0;1.4;CEO;1421.0;88.96;190438.0;1085647.0;Research and Public Policy : Social and Public Policy Research;2953.0;86.83;0.0;2153074.0;WA;2607265.0
85;559458.0;American Constitution Society for Law and Policy;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16491;Washington;nan;274278.0;5.46;President;1504225.0;85.22;632735.0;5408662.0;Research and Public Policy : Social and Public Policy Research;18702.0;85.1;0.0;3828390.0;DC;5896202.0
89;1531025.0;American Academy in Rome;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3238;New York;nan;408265.0;3.25;President;-1341457.0;76.91;1790923.0;116808412.0;International : International Peace, Security, and Affairs;5122516.0;81.91;0.0;9230031.0;NY;3923337.0
92;236064.0;Concern America;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10614;Santa Ana;nan;65552.0;5.55;Executive Director;-33130.0;62.54;111792.0;-94329.0;International : Development and Relief Services;78200.0;72.91;0.0;832035.0;CA;1062462.0
89;541391.0;Helps International;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17202;Dallas;nan;;;President;1073198.0;77.6;447677.0;2883535.0;International : Development and Relief Services;164220.0;82.35;0.0;3768525.0;TX;4480279.0
92;111686.0;United Way of the Eastern Panhandle;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15820;Martinsburg;nan;;;nan;34323.0;81.21;94323.0;2263804.0;Community Development : United Ways ,;26516.0;85.55;7161.0;970980.0;WV;955615.0
100;1322937.0;United Hospice of Rockland;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12582;New City;nan;138583.0;1.81;Executive Director;258452.0;78.48;242959.0;16743904.0;Human Services : Social Services;303667.0;84.78;0.0;6077402.0;NY;819810.0
89;113519.0;Sustainable South Bronx;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14728;Bronx;nan;125000.0;7.36;Executive Director;-257480.0;81.78;139524.0;92525.0;Environment : Environmental Protection and Conservation;71888.0;84.95;0.0;1443946.0;NY;700728.0
89;448445.0;Sioux Empire United Way;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13615;Sioux Falls;nan;177792.0;1.87;President;686765.0;90.98;485970.0;11056241.0;Community Development : United Ways ,;59987.0;89.94;98214.0;8569939.0;SD;10131132.0
96;199617.0;Senior Neighbors;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10034;Grand Rapids;nan;76404.0;2.12;President;9797.0;92.5;160327.0;1657153.0;Human Services : Social Services;12940.0;93.98;0.0;3240856.0;MI;955030.0
74;574820.0;Feminist Majority Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7161;Arlington;nan;128720.0;2.11;President;75104.0;85.44;159624.0;2898147.0;Human and Civil Rights : Advocacy and Education;2812.0;78.92;0.0;5343065.0;VA;4491894.0
89;102587.0;Elmbrook Humane Society;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7012;Brookfield;nan;75196.0;7.0;Executive Director;-49478.0;92.65;133702.0;6973164.0;Animals : Animal Rights, Welfare, and Services;47088.0;90.64;0.0;837633.0;WI;682261.0
89;209507.0;Bryan's House;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5697;Dallas;nan;124457.0;5.21;Executive Director;-499677.0;87.31;230678.0;2504124.0;Health : Diseases, Disorders, and Disciplines;8814.0;88.12;0.0;1947091.0;TX;1855994.0
85;413419.0;Brooklyn Historical Society;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16336;Brooklyn;nan;157709.0;3.46;President;-1201059.0;85.9;579542.0;17523325.0;Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation;386062.0;85.44;0.0;3552585.0;NY;2568802.0
100;39023.0;Mujeres Latinas en AcciÃ³n;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9156;Chicago;nan;118684.0;4.31;Executive Director;-164099.0;80.0;211851.0;1741486.0;Human Services : Children's and Family Services;87317.0;85.85;0.0;2497092.0;IL;2496550.0
92;110216.0;Vanderburgh Humane Society;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6138;Evansville;nan;54371.0;3.63;Executive Director;243561.0;84.04;97813.0;2218341.0;Animals : Animal Rights, Welfare, and Services;240247.0;87.37;0.0;1288650.0;IN;864061.0
100;652692.0;Sanibel-Captiva Conservation Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5569;Sanibel;nan;132601.0;4.26;Executive Director;308345.0;90.34;207995.0;24381422.0;Environment : Environmental Protection and Conservation;288000.0;93.16;0.0;2246167.0;FL;3091078.0
81;1012374.0;Correctional Peace Officers Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7274;Sacramento;nan;105973.0;1.42;Chief Administrative Officer;192126.0;96.96;515370.0;14974505.0;Human Services : Multipurpose Human Service Organizations;254629.0;86.39;0.0;5934333.0;CA;7388059.0
96;5635845.0;New York Public Radio;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4749;New York;CN Advisory: Low Concern;768485.0;0.9400000000000001;President, CEO;-749435.0;89.37;17364743.0;91365501.0;Arts, Culture, Humanities : Public Broadcasting and Media;-278151.0;91.96;0.0;58015999.0;NY;65706155.0
85;1719997.0;Eiteljorg Museum of American Indians and Western Art;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3659;Indianapolis;nan;234346.0;2.48;President, CEO;5946018.0;85.14;509797.0;48823286.0;Arts, Culture, Humanities : Museums;3463906.0;85.06;0.0;7203333.0;IN;11461036.0
89;276347.0;Boys & Girls Clubs of Bellevue;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17163;Bellevue;nan;203078.0;3.74;President, CEO;5249768.0;95.0;430110.0;19381516.0;Human Services : Youth Development, Shelter, and Crisis Services;-15557.0;91.45;15372.0;4709238.0;WA;7695608.0
92;4795415.0;Junior Achievement USA;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5738;Colorado Springs;nan;447373.0;1.8;President & CEO;-1816024.0;74.38;1488105.0;20340172.0;Education : Youth Education Programs and Services;10372065.0;81.02;1245707.0;18526854.0;CO;7793927.0
96;22166227.0;Young Life;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4791;Colorado Springs;nan;;;President, CEO;18736742.0;97.5;16422132.0;290785824.0;Religion : Religious Activities;-1853722.0;96.66;0.0;286169608.0;CO;278137366.0
100;257638.0;United Way of Lee, Hendry, Glades, and Okeechobee;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13316;Fort Myers;nan;190000.0;2.01;President;497004.0;95.31;603535.0;10596228.0;Community Development : United Ways ,;-141715.0;96.68;113900.0;8558619.0;FL;10058511.0
97;1695408.0;Zoo New England;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3539;Boston;nan;136628.0;0.99;President, CEO;3523574.0;89.96;689563.0;20832250.0;Animals : Zoos and Aquariums;678203.0;92.59;0.0;11319088.0;MA;12084655.0
85;820352.0;Winston-Salem Symphony;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15360;Winston-Salem;nan;136108.0;5.37;President, CEO;226506.0;68.62;290382.0;3841604.0;Arts, Culture, Humanities : Performing Arts;152007.0;75.4;0.0;1421272.0;NC;1669797.0
96;171496.0;WildEarth Guardians;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9974;Santa Fe;nan;;;Executive Director;363454.0;95.0;262341.0;2334523.0;Environment : Environmental Protection and Conservation;16205.0;95.47;0.0;2833357.0;NM;3145843.0
86;665850.0;Southwest Center for HIV/AIDS;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14196;Phoenix;nan;;;Interim Chief Executive Officer;-1147367.0;91.91;400366.0;7336065.0;Health : Diseases, Disorders, and Disciplines;181131.0;88.56;0.0;2892833.0;AZ;2397952.0
89;1304387.0;Hagley Museum and Library;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7840;Wilmington;nan;171635.0;1.25;Director;-2294548.0;97.5;307775.0;154216040.0;Arts, Culture, Humanities : Museums;8427872.0;92.02;0.0;12058619.0;DE;2286248.0
96;195339.0;KIDS HOPE USA;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15074;Zeeland;nan;132765.0;7.62;President;1675543.0;87.66;225460.0;3011229.0;Human Services : Youth Development, Shelter, and Crisis Services;2314.0;90.82;0.0;1321184.0;MI;3187275.0
89;1028280.0;GreatSchools;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8729;Oakland;nan;258928.0;2.36;President, CEO;-162156.0;81.74;515002.0;4064202.0;Education : Youth Education Programs and Services;2152322.0;84.92;0.0;9393570.0;CA;5970114.0
96;625343.0;Communities In Schools of Jacksonville;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5588;Jacksonville;nan;117318.0;1.55;Chief Executive Officer;-56243.0;77.56;192462.0;772044.0;Education : Youth Education Programs and Services;14808.0;83.88;0.0;6721910.0;FL;7468664.0
81;1912935.0;Catholic Health Initiatives Colorado Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5735;Englewood;nan;;;President;-1162005.0;86.62;2565319.0;55541463.0;Health : Treatment and Prevention Services ,;7497989.0;83.56;1308335.0;17124766.0;CO;12943026.0
96;1216680.0;McNay Art Museum;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6342;San Antonio;nan;292414.0;2.74;Director;-4665175.0;95.42;857329.0;79972319.0;Arts, Culture, Humanities : Museums;1044226.0;95.7;0.0;8586563.0;TX;4668005.0
96;288150.0;Pacific House;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9132;Stamford;nan;154370.0;5.37;Executive Director;399788.0;89.46;194389.0;3826015.0;Human Services : Homeless Services;629101.0;92.02;0.0;2391207.0;CT;2340528.0
100;125739.0;CASA of the Pikes Peak Region;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12421;Colorado Springs;nan;49354.0;2.42;Executive Director;-102292.0;94.31;169726.0;1823457.0;Human Services : Children's and Family Services;-41571.0;95.97;0.0;1740920.0;CO;1781905.0
96;233702.0;Let's Get Ready;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15727;New York;nan;;;nan;244874.0;88.85;335786.0;2334834.0;Education : Youth Education Programs and Services;85998.0;91.62;0.0;2503626.0;NY;3045089.0
100;974926.0;Action in Community Through Service;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7153;Dumfries;nan;71870.0;1.49;Chief Executive Officer;370642.0;82.41;89121.0;3549144.0;Human Services : Social Services;215021.0;87.56;0.0;3744716.0;VA;4870655.0
89;688394.0;University City District;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9151;Philadelphia;nan;227062.0;2.63;Executive Director;893979.0;90.1;180315.0;5330279.0;Community Development : Housing and Neighborhood Development;49050.0;89.53;0.0;7757595.0;PA;6995316.0
78;256738.0;International Friendships;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14006;Columbus;nan;104164.0;5.94;Executive Director;149790.0;90.9;59783.0;1172794.0;Religion : Religious Activities;35527.0;83.16;0.0;1435483.0;OH;1818715.0
96;196415.0;Greenbelt Alliance;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5796;San Francisco;nan;135691.0;5.79;Chief Executive Officer;-2923.0;82.51;410628.0;3208166.0;Environment : Environmental Protection and Conservation;276903.0;87.31;0.0;1733562.0;CA;1905814.0
96;1031223.0;Family Legacy Missions International;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11849;Irving;nan;206587.0;0.85;President, CEO;196828.0;87.5;1089713.0;2471500.0;International : Development and Relief Services;-369.0;90.71;0.0;22039896.0;TX;23311579.0
89;110086.0;Building Goodness Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13392;Charlottesville;nan;76643.0;3.33;Executive Director;857057.0;98.47;110549.0;2706329.0;Community Development : Housing and Neighborhood Development;9700.0;92.14;0.0;2079544.0;VA;3142261.0
96;493742.0;American Society of Transplantation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13501;Mount Laurel;nan;;;nan;159759.0;96.64;611833.0;14845814.0;Health : Treatment and Prevention Services;-108911.0;96.3;0.0;3780401.0;NJ;2219926.0
46;87511.0;Catholics United for the Faith;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7761;Steubenville;nan;;;nan;121725.0;79.84;8085.0;873596.0;Religion : Religious Activities;-15909.0;59.24;0.0;29595.0;OH;98774.0
89;1740919.0;WheatonArts and Cultural Center;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14544;Millville;nan;112896.0;3.4;Exec. Director;-250587.0;63.87;214055.0;3854508.0;Education : Youth Education Programs and Services;958494.0;73.29;0.0;1355850.0;NJ;1893108.0
96;96833.0;SHARE;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7714;New York;nan;115909.0;7.8100000000000005;Executive Director;254015.0;84.84;223119.0;975732.0;Health : Diseases, Disorders, and Disciplines;24126.0;88.91;0.0;1162539.0;NY;1712380.0
100;368665.0;Sankara Eye Foundation, USA;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9979;Milpitas;nan;110880.0;2.9699999999999998;Executive Chairman;1761833.0;90.0;398914.0;6348480.0;Health : Treatment and Prevention Services ,;3469.0;92.92;0.0;2962750.0;CA;5488693.0
100;537204.0;The Admiral Nimitz Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10444;Fredericksburg;nan;82000.0;1.17;President, CEO;-1233255.0;94.36;621007.0;17989333.0;Arts, Culture, Humanities : Museums;909062.0;96.01;0.0;5805238.0;TX;3083792.0
89;428935.0;Texas Public Policy Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10105;Austin;nan;352099.0;4.83;President, CEO;3535795.0;86.75;857920.0;4298827.0;Research and Public Policy : Social and Public Policy Research;9406.0;87.82;0.0;5999148.0;TX;10658748.0
97;1529007.0;Virginia Historical Society;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4695;Richmond;nan;167024.0;1.79;President and CEO;-2487427.0;86.96;935724.0;82523985.0;Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation;874118.0;90.53;0.0;6817091.0;VA;5439669.0
100;1402434.0;The V Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5907;Cary;nan;311951.0;1.22;Chief Executive Officer;-721298.0;90.0;1648025.0;33094042.0;Health : Diseases, Disorders, and Disciplines ,;1436274.0;92.92;0.0;22415462.0;NC;23308349.0
96;2849178.0;National World War II Museum;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8265;New Orleans;nan;514109.0;1.37;President, CEO;26214866.0;86.66;6662139.0;234606850.0;Arts, Culture, Humanities : Museums;4474048.0;90.15;0.0;27897219.0;LA;44253549.0
92;473610.0;Maine Seacoast Mission;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9318;Bar Harbor;nan;93631.0;2.58;President;854905.0;92.9;266138.0;42071007.0;Human Services : Social Services;857978.0;92.43;0.0;2883090.0;ME;3554563.0
96;10855987.0;Goodwill Southern California;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3766;Los Angeles;nan;363321.0;0.16;COO;-908914.0;81.0;1603861.0;27678716.0;Human Services : Social Services;882574.0;86.27;167544.0;207988107.0;CA;86618333.0
100;333687.0;Friends of Great Smoky Mountains National Park;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8369;Kodak;nan;125000.0;6.47;President;3500022.0;75.54;473886.0;14737881.0;Environment : Botanical Gardens, Parks, and Nature Centers;606879.0;82.7;0.0;1123259.0;TN;4823975.0
81;438153.0;Religions for Peace;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4757;New York;nan;206258.0;7.35;Secretary General;-181330.0;90.0;362670.0;6126845.0;International : International Peace, Security, and Affairs;67859.0;84.81;0.0;2002162.0;NY;2553796.0
55;188904.0;People's Action Institute;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14546;Seattle;nan;;;nan;-3336936.0;82.5;157302.0;385307.0;Human and Civil Rights : Advocacy and Education;2030.0;65.85;0.0;4300833.0;WA;1287363.0
89;3027860.0;Cal Ripken, Sr. Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17118;Baltimore;nan;497772.0;2.32;President. Chief Executive Officer;7389065.0;92.5;908426.0;11941291.0;Human Services : Youth Development, Shelter, and Crisis Services;-560920.0;90.58;0.0;17501671.0;MD;29387942.0
93;778483.0;Juliette Fowler Communities;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3962;Dallas;nan;172071.0;1.3;President;325642.0;87.25;71087.0;45784136.0;Human Services : Social Services ,This rating represents consolidated financial data for these organizations:;659402.0;89.71;0.0;12313990.0;TX;3693374.0
89;244243.0;Brigade Boys & Girls Club;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15821;Wilmington;nan;86348.0;4.12;Executive Director;-3497.0;100.0;137498.0;2448837.0;Human Services : Youth Development, Shelter, and Crisis Services;145337.0;92.22;0.0;1712556.0;NC;1387089.0
100;77621.0;Linn Benton Food Share;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7615;Corvallis;nan;;;Executive Director;143761.0;93.12;19754.0;2792648.0;Human Services : Food Banks, Food Pantries, and Food Distribution;0.0;95.13;0.0;9323327.0;OR;9228574.0
92;299137.0;The Immokalee Foundation;https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16281;Naples;nan;125522.0;4.54;Executive Director;-49662.0;90.41;358246.0;8907209.0;Education : Youth Education Programs and Services;-131704.0;91.16;0.0;2101602.0;FL;2841027.0
